Name,NRIC,Age,Marital Status,Password,Role
Daniel,T2109876H,36,Single,password,HDBOfficer
Emily,S6543210I,28,Single,password,HDBOfficer
David,T1234567J,29,Married,password,HDBOfficer
Michael,T8765432F,36,Single,password,HDBManager
Jessica,S5678901G,26,Married,password,HDBManager
John,S1234567A,35,Single,password,Applicant
Sarah,T7654321B,40,Married,password,Applicant
Grace,S9876543C,37,Married,password,Applicant
James,T2345678D,30,Married,password,Applicant
Rachel,S3456789E,25,Single,password,Applicant
